ImageFiles,Show Attend And Tell,Novel Object Captioner,Decoupled Novel Object Captioner,Object Classes per Image,Object Instances per Image,Length of Caption
b00000045_21i57n_20150526_085241e.jpg,a room filled with lots of windows.,A large white and black train on a steel track.,a bench is parked at a bench station,0,0,"[7, 10, 8]"
b00000338_21i57n_20150525_211030e.jpg,a group of people sitting around a table.,A group of people sitting around a table with a large umbrella.,a group of people sitting around a table with a bicycle,5,10,"[8, 12, 11]"
b00005331_21i57n_20150523_130004e.jpg,a man riding a bike down a street.,A man is riding a bicycle on a road.,a man riding a bicycle down a road,2,3,"[8, 9, 8]"
b00002667_21i57n_20150517_143706e.jpg,a person flying a kite on a beach.,A man is flying a large kite in a large open area.,a kite flying a kite on a beach,2,2,"[8, 12, 8]"
b00002657_21i57n_20150517_143216e.jpg,a person on a beach with a kite.,A person on a beach with a kite in the background.,a person is flying a kite on the beach,1,2,"[8, 11, 9]"
b00003172_21i57n_20150520_123011e.jpg,a group of people sitting around a table.,A woman in a black shirt and a black and white photo.,a group of people standing around a table with a cup,2,10,"[8, 12, 11]"
b00005510_21i57n_20150523_164146e.jpg,a group of people riding on a motorcycle.,A man in a red shirt is riding a skateboard.,a man riding a person down a street,1,1,"[8, 10, 8]"
b00003058_21i57n_20150517_173639e.jpg,a man is standing on a skateboard in front of a building.,A man is riding a skateboard down a street.,a person is parked in front of a building,2,4,"[12, 9, 9]"
b00000101_21i57n_20150517_221054e.jpg,a group of people sitting at a table with wine glasses.,A woman in a kitchen with a large plate of food.,a woman sitting at a table with a plate of food,3,5,"[11, 11, 11]"
b00004367_21i57n_20150521_235442e.jpg,a group of people that are sitting at a table.,A man is sitting at a table with a plate of food.,a man sitting at a table with a cup of food,6,13,"[10, 12, 11]"
b00003292_21i57n_20150517_191314e.jpg,a man is holding a cell phone in his hand.,A woman is holding a large giraffe in her hand.,a man in a hat and sunglasses is talking on a cell phone,1,1,"[10, 10, 13]"
b00004793_21i57n_20150522_135435e.jpg,a person is using a laptop on a table.,A man is sitting on a white and blue shirt.,a tv is sitting on a laptop computer,2,2,"[9, 10, 8]"
b00004720_21i57n_20150522_130751e.jpg,a man and a woman are playing a video game.,A man holding a wii remote in his hand.,a man sitting in a bed with a bed,1,2,"[10, 9, 9]"
b00004343_21i57n_20150521_234338e.jpg,a person that is sitting on a bench.,A blurry picture of a person in a jacket and a woman in a white shirt and black jacket.,a man is sitting on a bicycle with a person,1,3,"[8, 19, 10]"
b00004186_21i57n_20150521_152059e.jpg,a person on a skateboard in a park.,A large metal train is shown in a park.,a train is sitting on a train in a train,1,1,"[8, 9, 10]"
b00004370_21i57n_20150521_235600e.jpg,a glass of wine sitting on top of a table.,A woman sitting at a table with a glass of wine.,a man is sitting at a table with a cup,2,6,"[10, 11, 10]"
b00000615_21i57n_20150526_153241e.jpg,a man sitting at a desk with a laptop.,A large white toilet sitting inside of a room.,a kitchen with a suitcase and a suitcase,0,0,"[9, 9, 8]"
b00004206_21i57n_20150512_070718e.jpg,a city street with a traffic light and a traffic light.,A man is sitting on a bench in the street.,a man riding a bicycle down a street,3,5,"[11, 10, 8]"
b00000170_21i57n_20150524_183223e.jpg,a woman sitting on a couch with a frisbee.,A woman is holding a frisbee in her hand.,a woman is sitting on a bicycle with a bicycle,1,1,"[9, 9, 10]"
b00000383_21i57n_20150518_082540e.jpg,a view of a city street at night.,A man is sitting on a bench with a bike.,a person is sitting on a bicycle in the park,1,1,"[8, 10, 10]"
b00004773_21i57n_20150522_134143e.jpg,a woman sitting on a bench with a dog.,A young child sitting on a bench in a park with a cat.,a woman sitting on a bicycle with a bicycle,1,2,"[9, 13, 9]"
b00000356_21i57n_20150518_002247e.jpg,a close up of a tv on a table.,A reflection of a person in a bathroom with a sink.,a tv with a book and a book,0,0,"[9, 11, 8]"
b00000160_21i57n_20150517_224007e.jpg,a man sitting at a table with a wine glass.,A woman in a restaurant looking at a restaurant.,a man is taking a picture of himself in a mirror,3,7,"[10, 9, 11]"
b00003139_21i57n_20150520_105640e.jpg,a person holding a doughnut in their hand.,A person using a computer screen with a keyboard on a table.,a laptop holding a cell phone in their hand,2,2,"[8, 12, 9]"
b00005091_21i57n_20150522_214220e.jpg,a man is holding a glass of wine.,A blurry image of a woman in a white dress talking on cell phone.,a woman is holding a cell phone in her hand,2,4,"[8, 14, 10]"
b00003008_21i57n_20150517_171342e.jpg,a woman wearing a hat is holding an umbrella.,A man is standing on a sidewalk holding a shaped like a elephant.,a woman in a hat and a hat is holding a cell phone,1,1,"[9, 13, 13]"
b00002875_21i57n_20150510_164332e.jpg,a man sitting on a bench with a frisbee.,A woman is sitting on a bench with her feet in the middle of the.,a woman sitting on a bicycle with a bicycle,1,1,"[9, 15, 9]"
b00001548_21i57n_20150518_201643e.jpg,a view of a kitchen with a microwave.,A person in a green jacket is sitting on a train.,a microwave with a microwave and a microwave,0,0,"[8, 11, 8]"
b00002793_21i57n_20150517_152948e.jpg,a man standing in a room with a laptop.,A man in a red shirt and a black and white shirt and a black and white photo.,a man is sitting in a bicycle with a person,2,4,"[9, 18, 10]"
b00000449_21i57n_20150518_085009e.jpg,a living room with a couch and a table.,A group of people standing in a room with a large window.,a living room with a person and a television,1,1,"[9, 12, 9]"
b00003197_21i57n_20150520_124137e.jpg,a person is cutting a cake in a kitchen.,A man is sitting in front of a plate of food.,a woman is sitting in a cup with a cup,1,5,"[9, 11, 10]"
b00005438_21i57n_20150523_140844e.jpg,a glass of wine and a glass of wine.,A person is holding a wine glass in a wine glass.,a wine glass with a wine glass and a wine glass on it,1,1,"[9, 11, 13]"
b00000079_21i57n_20150517_220022e.jpg,a group of people sitting at a table.,A man is sitting at a table with a plate of food.,a man and woman sitting at a table with food,4,5,"[8, 12, 10]"
b00000341_21i57n_20150525_211232e.jpg,a group of people sitting around a table.,A group of people sitting around a table with food.,a group of people sitting around a table with food,5,12,"[8, 10, 10]"
b00003115_21i57n_20150517_180051e.jpg,a car parked on the side of a car.,A car is parked in a lot of people.,a person is parked in front of a car,2,3,"[9, 9, 9]"
b00001316_21i57n_20150518_161316e.jpg,a close up of a laptop on a table.,A man is sitting on a desk in a room.,a person with a sink and a sink,1,3,"[9, 10, 8]"
b00004739_21i57n_20150522_131952e.jpg,a man sitting on a bench with a laptop.,A group of men and woman sitting at table with a park bench.,a man sitting on a bicycle with a bicycle,1,2,"[9, 13, 9]"
b00002592_21i57n_20150517_140907e.jpg,a man is playing a game of frisbee.,A person is holding a skate board in the air.,a man is doing a trick on a bicycle,1,2,"[8, 10, 9]"
b00002653_21i57n_20150517_143036e.jpg,a man flying a kite in a field.,A man is flying a kite in the sky.,a man flying a kite in a field,2,3,"[8, 9, 8]"
b00000278_21i57n_20150525_203039e.jpg,a group of people standing next to each other.,A man is standing in front of a large window.,a man and woman are standing in a park,3,6,"[9, 10, 9]"
b00002326_21i57n_20150519_155508e.jpg,a close up of a cell phone on a table.,A close up of a person on a cell phone.,a cell phone with a cell phone control on it,0,0,"[10, 10, 10]"
b00003100_21i57n_20150510_182806e.jpg,a group of people standing next to each other.,A group of people standing around a park with a frisbee.,a group of people are sitting around a park,3,8,"[9, 11, 9]"
b00002636_21i57n_20150517_142334e.jpg,a person standing on a beach with a kite.,A person is walking on a beach with a surfboard.,a man is flying a handbag on the beach,1,1,"[9, 10, 9]"
b00000413_21i57n_20150526_132339e.jpg,a train traveling down a bridge over a bridge.,A boat is traveling down a river with a boat in the background.,a bicycle is on the water near a bridge,0,0,"[9, 13, 9]"
b00003039_21i57n_20150517_172806e.jpg,a train traveling down a track next to a building.,A train is on the tracks in the city.,a chair is sitting on a chair in a park,1,2,"[10, 9, 10]"
b00002543_21i57n_20150517_134948e.jpg,a person on a beach flying a kite.,A man is sitting on a bench with a bicycle.,a person is flying a kite on the beach,2,5,"[8, 10, 9]"
b00002331_21i57n_20150519_155816e.jpg,a close up of a bed with a remote control.,A bathroom with a red wall and a white toothbrush.,a person with a bottle and a bottle,0,0,"[10, 10, 8]"
b00000046_21i57n_20150526_085328e.jpg,a view of a room with a refrigerator.,A large white and red train on a steel track.,a suitcase is sitting on a table in a room,0,0,"[8, 10, 10]"
b00000886_21i57n_20150518_130631e.jpg,a view of a window in a room.,A man in a grey shirt is standing in a kitchen.,a person is standing in a window sill,1,2,"[8, 11, 8]"
b00002335_21i57n_20150509_192312e.jpg,a giraffe standing in the middle of a field.,A large brown and white horse in a field.,a bicycle is standing in the grass near a tree,0,0,"[9, 9, 10]"
b00005292_21i57n_20150523_123325e.jpg,two people riding bikes on a street.,A man riding a bike on a street next to a man.,a man riding a bicycle down a street,4,11,"[7, 12, 8]"
b00004686_21i57n_20150522_022343e.jpg,a view of a mirror in a dark room.,A cat is laying down on a table.,a person is sitting on a table in a room,0,0,"[9, 8, 10]"
b00004556_21i57n_20150522_013146e.jpg,a close up of a person in a mirror.,A person is sitting on a table with a bowl of food.,a person is sitting in a cup with a person,1,2,"[9, 12, 10]"
b00003233_21i57n_20150520_125748e.jpg,a man sitting at a table with a plate of food.,A man is eating a plate of food.,a man is sitting at a table with a bicycle,1,5,"[11, 8, 10]"
b00005442_21i57n_20150523_141121e.jpg,a man sitting in a chair with a dog.,A man is standing in the middle of a table with a plate of food.,a man sitting at a table with a wine glass,2,8,"[9, 15, 10]"
b00000653_21i57n_20150518_113649e.jpg,a man cutting a cake on a table.,A woman is sitting on a table with a laptop.,a man is standing in front of a cup,2,5,"[8, 10, 9]"
b00000772_21i57n_20150526_171308e.jpg,a person standing in front of a refrigerator.,A man in a blue shirt and a white shirt and a blue shirt and a white shirt.,a man standing in a room with a bicycle,1,1,"[8, 18, 9]"
b00002499_21i57n_20150517_133151e.jpg,a person standing on a beach with a kite.,A large white and blue train is on the dirt.,a person is standing on the beach near the water,0,0,"[9, 10, 10]"
b00001822_21i57n_20150519_090038e.jpg,a bathroom with a sink and a sink.,A man is sitting on a chair with a dog.,a sink is sitting on a table in a room,3,3,"[8, 10, 10]"
b00002680_21i57n_20150517_144219e.jpg,a person on a beach flying a kite.,A person on a snowboard is in the snow.,a kite on a beach with a kite on the beach,2,2,"[8, 9, 11]"
b00002941_21i57n_20150517_164352e.jpg,a man and a woman are eating food.,A man is eating a sandwich with a fork.,a man is sitting at a table with a cup,4,6,"[8, 9, 10]"
b00000289_21i57n_20150525_203802e.jpg,a group of people standing in front of a building.,A man standing next to a man holding a white umbrella.,a man and a woman are standing in front of a bicycle,2,5,"[10, 11, 12]"
b00000099_21i57n_20150517_221000e.jpg,a couple of people sitting at a table.,A man in a kitchen with a plate of food.,a man is sitting at a table with a wine glass,4,6,"[8, 10, 11]"
b00000148_21i57n_20150517_223356e.jpg,a man sitting at a table with a glass of wine.,A man is sitting at a table with a plate of food.,a man sitting at a table with a bottle,5,7,"[11, 12, 9]"
b00000004_21i57n_20150524_162348e.jpg,a couple of people standing next to each other.,A man standing in front of a window with a dog on it.,a man and woman are standing in front of a chair,1,2,"[9, 13, 11]"
b00002161_21i57n_20150509_175540e.jpg,a group of people standing next to each other.,A man is standing on a sidewalk with a backpack.,a man and woman are standing in a parking lot,2,5,"[9, 10, 10]"
b00002671_21i57n_20150517_143842e.jpg,a view of a mountain in the sky.,A person is flying a large window with a blue sky.,a person flying over a beach with a bicycle,0,0,"[8, 11, 9]"
b00002538_21i57n_20150517_134753e.jpg,a person flying a kite in the sky.,A man is flying a kite in the sky.,a kite flying over a beach with a kite,2,2,"[8, 9, 9]"
b00002545_21i57n_20150517_135034e.jpg,a view of a beach with a beach.,A man is standing on a beach with a unk.,a dog is flying a kite on the beach,1,1,"[8, 10, 9]"
b00005711_21i57n_20150524_021420e.jpg,a person standing in front of a building.,A man in a red shirt is standing in front of a wall.,a person is sitting on a window sill,1,1,"[8, 13, 8]"
b00000767_21i57n_20150526_170954e.jpg,a man standing in front of a door.,A man is standing in the middle of a room.,a man in a suit and chair standing in front of a building,2,5,"[8, 10, 13]"
b00005096_21i57n_20150522_214549e.jpg,a man is holding a glass of wine.,A man is holding a glass of wine in his hand.,a man is holding a cell phone in his hand,1,2,"[8, 11, 10]"
b00004786_21i57n_20150522_134958e.jpg,a person is standing in front of a mirror.,A person is holding a glass of red wine.,a person holding a hair drier control in a room,1,1,"[9, 9, 10]"
b00005089_21i57n_20150522_214059e.jpg,a man is holding a glass of wine.,A man in a black shirt eating a glass of wine.,a man is holding a bottle in his hand,3,5,"[8, 11, 9]"
b00000883_21i57n_20150518_130502e.jpg,a kitchen with a stove and a table.,A black and white photo of a kitchen with a black and white counter top.,a dining table sitting on a dining table in a room,0,0,"[8, 15, 11]"
b00000254_21i57n_20150525_201447e.jpg,a couple of people standing next to each other.,A man standing next to a man holding a wii game.,a man and woman standing in front of a building,3,5,"[9, 11, 10]"
b00005103_21i57n_20150522_215024e.jpg,a group of people sitting at a table with wine glasses.,A man in a wine glasses is sitting on a table.,a man and woman sitting at a table with wine glasses,4,7,"[11, 11, 11]"
b00004348_21i57n_20150521_234554e.jpg,a group of people sitting at a table with food.,A man is sitting at a table with a plate of food.,a man is sitting at a table with a bottle,2,5,"[10, 12, 10]"
b00000606_21i57n_20150526_152738e.jpg,a man sitting at a table with a laptop.,A large room with a large window and a large window.,a tv is sitting on a desk in a room,0,0,"[9, 11, 10]"
b00002408_21i57n_20150509_221008e.jpg,a man and a woman in a living room.,A woman in a white shirt and a black and white smile.,a woman and a woman are playing a video game,3,4,"[9, 12, 10]"
b00004529_21i57n_20150522_011632e.jpg,a group of people sitting at a table.,A man in a restaurant looking at a table with a bowl of fruit in front of them.,a person is sitting in a cup with a cup,3,5,"[8, 18, 10]"
b00000750_21i57n_20150518_121559e.jpg,a view of a room with a large window.,A very clean living area of a living room with a fire place.,a person is sitting in a bathroom with a bicycle,0,0,"[9, 13, 10]"
b00002491_21i57n_20150519_172151e.jpg,a man and a woman in a kitchen.,A man in a kitchen with a large window.,a man and woman are standing in a kitchen,1,2,"[8, 9, 9]"
b00005688_21i57n_20150523_231511e.jpg,a couple of birds flying in the sky.,A person is holding a light in their hands.,a person is holding a bicycle in a person,1,1,"[8, 9, 9]"
b00005724_21i57n_20150524_030716e.jpg,a blurry photo of a person looking at the camera.,A blurry photo of a person in a dark room.,a person is sitting in a bicycle on a bicycle,0,0,"[10, 10, 10]"
b00000445_21i57n_20150518_084821e.jpg,a close up of a bathroom with a window.,A bathroom with a large mirror and a sink.,a couch and a couch in a bathroom,0,0,"[9, 9, 8]"
b00000625_21i57n_20150526_153820e.jpg,a man sitting at a table with a laptop.,A large white airplane sitting on top of a kitchen table.,a person sitting on a desk in a room,0,0,"[9, 11, 9]"
b00002973_21i57n_20150517_165810e.jpg,a man standing in a field with a kite.,A man is flying a kite in a park.,a man is standing on a bicycle in a park,2,5,"[9, 9, 10]"
b00002234_21i57n_20150509_183056e.jpg,a man sitting at a table with a bottle of wine.,A woman in a kitchen with a large mirror.,a man and woman are sitting at a table,4,7,"[11, 9, 9]"
b00005273_21i57n_20150523_122152e.jpg,a police officer riding a motorcycle down a street.,A man is riding a motorcycle down a street.,a group of people riding bikes down a street,3,12,"[9, 9, 9]"
b00002554_21i57n_20150517_135403e.jpg,a person on a beach flying a kite.,A person on a beach flying a kite.,a boat flying a kite on a beach,1,1,"[8, 8, 8]"
b00002443_21i57n_20150509_222623e.jpg,a group of people standing around a table with food.,A group of people sitting at a table with plates of food.,a group of people sitting around a table eating food,3,8,"[10, 12, 10]"
b00001964_21i57n_20150509_163357e.jpg,a group of people riding bikes down a street.,A group of people riding bikes down a street.,a group of people riding bikes down a street,2,7,"[9, 9, 9]"
b00002651_21i57n_20150517_142945e.jpg,a person on a beach flying a kite.,A person on a horse in a field.,a person flying a airplane in a field,2,2,"[8, 8, 8]"
b00003040_21i57n_20150517_172833e.jpg,a train that is sitting on the tracks.,A man is sitting on a wooden bench with a large umbrella.,a person is sitting on a bicycle in the middle of a park,3,4,"[8, 12, 13]"
b00000286_21i57n_20150525_203534e.jpg,a group of people standing around a table.,A man is standing in front of a building with a cellphone.,a group of people sitting around a table,3,7,"[8, 12, 8]"
b00000410_21i57n_20150526_132130e.jpg,a group of people walking down a street.,A group of people standing on a grassy field.,a group of people standing on a beach,1,4,"[8, 9, 8]"
b00000575_21i57n_20150508_125608e.jpg,a view of a subway station with a train.,A large white and black train on a steel track.,a train station with a train and a train,0,0,"[9, 10, 9]"
b00005748_21i57n_20150524_112831e.jpg,a room with a bed and a chair.,A woman is sitting on a desk in a living room.,a table with a book and a laptop on it,3,4,"[8, 11, 10]"
b00002628_21i57n_20150517_142102e.jpg,a person flying a kite on a beach.,A man is sitting on a wooden board in the water.,a kite flying a kite on a beach,0,0,"[8, 11, 8]"
b00000393_21i57n_20150526_130901e.jpg,a person sitting at a table with food.,A man sitting in a green green shirt eating a piece of food.,a person is sitting on a table with a bowl,2,5,"[8, 13, 10]"
b00002593_21i57n_20150517_140932e.jpg,a person holding a kite in the air.,A skier in mid air skating on a ramp at night.,a person is flying through the air while riding a bicycle,1,2,"[8, 11, 11]"
b00005441_21i57n_20150523_141041e.jpg,a group of people sitting at a table.,A man is sitting on a train with a cellphone.,a young boy is sitting on a chair,3,5,"[8, 10, 8]"
b00000279_21i57n_20150525_203113e.jpg,a man and a woman are looking at a cell phone.,A man is standing in front of a large window.,a young boy is holding a bicycle in his hand,2,6,"[11, 10, 10]"
b00000637_21i57n_20150518_112941e.jpg,two men standing next to each other on a table.,A man is standing in front of a cake.,a man is cutting a bicycle with a bicycle,4,9,"[10, 9, 9]"
b00002988_21i57n_20150517_170411e.jpg,a man standing on a boat in the water.,A man is standing in the middle of a street.,a man is sitting on a car with a car,2,2,"[9, 10, 10]"
b00000876_21i57n_20150518_130449e.jpg,a refrigerator with a refrigerator in it.,A man in a white shirt and a white shirt and a white shirt and a white shirt.,a dining table sitting on top of a desk next to a bowl,0,0,"[7, 18, 13]"
b00000032_21i57n_20150524_164251e.jpg,a group of people sitting at a table.,A woman in a black shirt and a white shirt and a black and white photo.,a group of people sitting around a table,1,4,"[8, 16, 8]"
b00003108_21i57n_20150510_183125e.jpg,a woman standing on a sidewalk with a cell phone.,A man sitting on a bench with a bike in front of it.,a man is sitting on a bicycle in a park,2,3,"[10, 13, 10]"
b00001327_21i57n_20150518_161844e.jpg,a bathroom with a sink and a sink.,A bathroom with a sink and a mirror.,a sink and a sink on a table,3,5,"[8, 8, 8]"
b00002877_21i57n_20150510_164420e.jpg,a group of people sitting on a park bench.,A man is holding a white frisbee in his hand.,a man and a woman are sitting on a bicycle,2,4,"[9, 10, 10]"
b00004766_21i57n_20150522_133715e.jpg,a man and a woman sitting on a bench.,A woman sitting on a white chair looking at a dog.,a woman sitting on a bicycle with a bicycle,1,2,"[9, 11, 9]"
b00000103_21i57n_20150517_221146e.jpg,a group of people sitting at a table.,A man in a kitchen with a large window.,a man is sitting at a table with a wine glass,3,7,"[8, 9, 11]"
b00004254_21i57n_20150521_155140e.jpg,a group of people standing next to a train.,A large group of people in a room with a large large large large large large large large large white table.,a man standing in front of a cup at a station,1,1,"[9, 21, 11]"
b00000295_21i57n_20150525_204129e.jpg,a group of people standing next to each other.,A man is standing in front of a large truck.,a group of people standing around a table,4,7,"[9, 10, 8]"
b00001518_21i57n_20150518_174032e.jpg,a close up of a person holding a remote.,A very cute little girl in a blue dress is sitting on a chair.,a person with a person on it,2,2,"[9, 14, 7]"
b00002797_21i57n_20150517_153125e.jpg,a person holding a red umbrella on a street.,A man is holding a cell phone to his ear.,a woman sitting on a bicycle with a car,2,2,"[9, 10, 9]"
b00000072_21i57n_20150517_215646e.jpg,a group of people sitting at a table.,A man is sitting at a table with a bowl of food.,a man is sitting at a table with a wine glass,4,6,"[8, 12, 11]"
b00001818_21i57n_20150519_085819e.jpg,a woman standing in front of a mirror.,A woman is standing in front of a mirror.,a man is standing in front of a sink,2,2,"[8, 9, 9]"
b00001924_21i57n_20150509_161702e.jpg,a group of people sitting around a table.,A group of people sitting around a table with food.,a man sitting at a table with a bicycle,1,3,"[8, 10, 9]"
b00003021_21i57n_20150517_171932e.jpg,a person walking down a street with an umbrella.,A man is walking down a narrow street with a large umbrella.,a person tower with a person on the side of it,1,3,"[9, 12, 11]"
b00001638_21i57n_20150509_135619e.jpg,a couple of people sitting on a wooden bench.,A woman is sitting at a table with a glass of wine.,a person sitting at a table with a wine glass,3,4,"[9, 12, 10]"
b00002818_21i57n_20150517_154011e.jpg,a man flying a kite in a park.,A man is flying a kite in the air.,a car flying over a city street,1,1,"[8, 9, 7]"
b00000111_21i57n_20150517_221552e.jpg,a group of people sitting at a table.,A man in a kitchen with a large mirror.,a man sitting at a table with a wine glass,5,10,"[8, 9, 10]"
b00000583_21i57n_20150526_151445e.jpg,a man sitting at a desk with a laptop.,A large airplane is on a large kitchen.,a person sitting on top of a wooden table,0,0,"[9, 8, 9]"
b00004792_21i57n_20150522_135355e.jpg,a bathroom with a shower and a shower.,A large white and grey train on a steel track.,a bathroom with a bicycle and a person,0,0,"[8, 10, 8]"
b00002155_21i57n_20150509_175242e.jpg,a man is standing in front of a tree.,A man riding a skateboard down a street.,a man riding a bicycle down a street,3,4,"[9, 8, 8]"
b00002563_21i57n_20150517_135739e.jpg,a couple of people standing on top of a beach.,A man standing on a beach holding a surf board.,a group of people standing on a beach with a kite,2,6,"[10, 10, 11]"
b00000357_21i57n_20150518_002314e.jpg,a view of a kitchen with a refrigerator.,A man in a kitchen with a large window.,a man standing in a kitchen with a bottle,1,1,"[8, 9, 9]"
b00000274_21i57n_20150525_202759e.jpg,a group of people sitting around a table.,A man standing next to a table with a fruit on it.,a man and woman cutting a bowl with a bowl,4,7,"[8, 12, 10]"
b00005350_21i57n_20150523_131317e.jpg,a person riding a bike down a street.,A man is riding a bike down a street.,a man is sitting on a bicycle in a park,3,7,"[8, 9, 10]"
b00002549_21i57n_20150517_135206e.jpg,two people on a beach flying a kite.,A person on a beach with a kite in the background.,a person on a beach with a surfboard,3,7,"[8, 11, 8]"
b00002241_21i57n_20150509_183405e.jpg,a man sitting at a table with a plate of food.,A group of people sitting around a table with food.,a man and woman are standing in a kitchen,3,5,"[11, 10, 9]"
b00001817_21i57n_20150519_085752e.jpg,a woman standing in front of a mirror in a bathroom.,A man in a bathroom looking at a mirror.,a man is standing in front of a mirror,1,1,"[11, 9, 9]"
b00000737_21i57n_20150518_121139e.jpg,a woman standing in front of a mirror.,A man in a bathroom looking at a phone.,a man is taking a picture of himself in a mirror,1,1,"[8, 9, 11]"
b00002603_21i57n_20150517_141341e.jpg,a beach with a kite on the beach.,A person on a beach with a kite in the background.,a boat on a beach with a boat on the beach,2,4,"[8, 11, 11]"
b00000029_21i57n_20150517_213631e.jpg,a living room with a television and television.,A group of people sitting at a table with a laptop.,a man is playing a video game in a living room,2,3,"[8, 11, 11]"
b00000041_21i57n_20150517_214206e.jpg,two people sitting at a table with wine glasses.,A woman sitting at a table with wine glasses.,a man and woman are sitting at a table,3,8,"[9, 9, 9]"
b00002568_21i57n_20150517_135940e.jpg,a man standing on a sidewalk with a cell phone.,A man is standing in the middle of a street.,a woman in a blue shirt and a kite,1,2,"[10, 10, 9]"
b00002534_21i57n_20150517_134616e.jpg,a view of a large body of water.,A man is standing in the middle of a large white boat.,a person flying a kite on a beach,0,0,"[8, 12, 8]"
b00000401_21i57n_20150526_131416e.jpg,a couple of people sitting on top of a skateboard.,A man is sitting on a wooden table with a bowl of food.,a man in a hat is holding a bowl,4,6,"[10, 13, 9]"
b00002833_21i57n_20150510_162522e.jpg,a couple of people riding bikes down a street.,A man riding a bike down a street next to a street.,a man riding a bicycle down a street,4,12,"[9, 12, 8]"
b00005288_21i57n_20150523_123107e.jpg,a man riding a bike down a street.,A man is sitting on a bench with a bicycle.,a man riding a bicycle down a street,4,9,"[8, 10, 8]"
b00002510_21i57n_20150509_225441e.jpg,a man is holding a remote control in his hand.,A man in a suit and tie holding a phone in a room.,a man in a suit and book is holding a wii controller,1,2,"[10, 13, 12]"
b00004190_21i57n_20150521_152248e.jpg,a couple of people sitting at a table.,A man is sitting on a white and black table.,a man is standing in front of a bicycle,1,4,"[8, 10, 9]"
b00002800_21i57n_20150517_153240e.jpg,a group of people standing next to a bus.,A man is sitting on a white and black laptop.,a man is standing next to a bicycle,2,6,"[9, 10, 8]"
b00002933_21i57n_20150517_164009e.jpg,a group of people sitting at a table eating food.,A man in a suit and a woman in a restaurant.,a man in a kitchen preparing food in a kitchen,2,5,"[10, 11, 10]"
b00000331_21i57n_20150518_001044e.jpg,a group of people sitting at a table with wine glasses.,A man in a kitchen with a large plate of food.,a man sitting at a table with a wine glass,5,10,"[11, 11, 10]"
b00003175_21i57n_20150520_123132e.jpg,a group of people sitting at a table.,A man is sitting at a table with a laptop.,a man sitting at a table with a cup,3,10,"[8, 10, 9]"
b00003288_21i57n_20150517_191246e.jpg,a man is sitting at a table with a laptop.,A woman is holding a cell phone while wearing a tie.,a man in a suit and tie is holding a cell phone,1,1,"[10, 11, 12]"
b00000003_21i57n_20150508_080125e.jpg,a city street filled with lots of traffic.,A man is traveling down a city street with a large kite.,a bus is traveling down the tracks near a bridge,0,0,"[8, 12, 10]"
b00003253_21i57n_20150520_130704e.jpg,a couple of people standing in a kitchen.,A man in a kitchen with a large mirror.,a man standing in a room holding a bicycle,1,3,"[8, 9, 9]"
b00000182_21i57n_20150517_225043e.jpg,a group of people sitting at a table eating food.,A man is sitting at a table with a plate of food.,a man is preparing food in a kitchen,3,5,"[10, 12, 8]"
b00002815_21i57n_20150517_153856e.jpg,a group of people walking down a street.,A man in a suit and tie standing in front of a building.,a group of people standing in front of a building,1,5,"[8, 13, 10]"
b00000089_21i57n_20150517_220515e.jpg,a group of people sitting around a table.,A man in a kitchen with a cake in the background.,a man is preparing food in a kitchen,4,7,"[8, 11, 8]"
b00004755_21i57n_20150522_132951e.jpg,a man laying on a bed with a dog.,A man sitting on a chair with a dog on his back.,a man and a woman sitting at a table with a apple,2,2,"[9, 12, 12]"
b00001496_21i57n_20150509_125428e.jpg,a couple of men standing next to each other.,A man standing next to a brick wall with a unk.,a group of people standing around a bicycle,1,3,"[9, 11, 8]"
b00004944_21i57n_20150512_131138e.jpg,a man walking down a sidewalk with a skateboard.,A man in a red shirt and a red shirt and a white shirt and a red shirt.,a person is sitting in a car station,1,4,"[9, 18, 8]"
b00002835_21i57n_20150517_154746e.jpg,a man sitting on a couch with a laptop.,A man is sitting on a toilet in a restaurant.,a man sitting at a table with a person,3,5,"[9, 10, 9]"
b00002617_21i57n_20150517_141918e.jpg,a person on a surfboard in the water.,A large airplane is on a beach near the water.,a person is flying over a beach with a person,0,0,"[8, 10, 10]"
b00004919_21i57n_20150512_130113e.jpg,a man standing on the side of a train track.,A man is standing in the grass with a cellphone.,a man walking down a street holding a bench,1,2,"[10, 10, 9]"
b00000251_21i57n_20150525_201250e.jpg,a man and a woman standing in front of a refrigerator.,A man standing in front of a building with a phone in front of it.,a group of people standing around a building,1,3,"[11, 15, 8]"
b00000392_21i57n_20150518_083013e.jpg,a large building with a clock on it.,A man in a red shirt and a red double unk.,a refrigerator is shown in a store with a tv,0,0,"[8, 11, 10]"
b00002790_21i57n_20150517_152824e.jpg,a man standing in front of a luggage case.,A group of people walking down a busy street.,a group of people standing around a truck,1,2,"[9, 9, 8]"
b00004397_21i57n_20150522_001028e.jpg,a man sitting at a table with a glass of wine.,A man is sitting on a white plate with a bowl of food.,a man is taking a picture of a woman in a restaurant,4,8,"[11, 13, 12]"
b00000345_21i57n_20150518_001718e.jpg,a group of people standing around a table.,A man in a kitchen with a large window.,a kitchen with a person and a person,5,9,"[8, 9, 8]"
b00003169_21i57n_20150520_122851e.jpg,a group of people sitting at a table.,A man in a restaurant looking at a restaurant.,a group of people standing around a table with food,1,6,"[8, 9, 10]"
